大越史記續編序	Đại Việt sử kí tục biên tự.
國之有史尙矣	Quốc chi hữu sử thượng hĩ.
我越歷代史記先正黎文休潘孚先作之於前吳士連武瓊述之於後	Ngã Việt, lịch đại sử kí tiên chính Lê Văn Hưu, Phan Phu Tiên tác chi ư tiền, Ngô Sĩ Liên, Vũ Quỳnh thuật chi ư hậu.
其間事蹟之詳畧政治之得失莫不悉備於記载之中	Kì gian sự tích chi tường lược, chính trị chi đắc thất, mạc bất tất bị ư kí tải chi trung.
但未行鋟梓更手傳筆因循抄録不䏻無陶陰帝乕之疑	Đãn vị hành tẩm tử, cánh thủ truyền bút, nhân tuần sao lục, bất năng vô đào âm đế hổ chi nghi.
迨至	Đãi chí ...
我朝玄宗穆皇帝臨御之𥘉頼弘祖陽王興建治平造就𭓇問命宰臣范公著等參考𦾔史有如史記外紀本紀全書本紀實録並依前史名例又參究編述自國朝荘宗裕皇帝至	ngã triều Huyền Tông Mục Hoàng Đế lâm ngự chi sơ, lại Hoằng Tổ Dương Vương hưng kiến trị bình, tạo tựu học vấn, mệnh tể thần Phạm Công Trứ đẳng tham khảo cựu sử, hữu như Sử kí ngoại kỉ, Bản kỉ toàn thư, Bản kỉ thực lục, tịnh y tiền sử danh lệ, hựu tham cứu biên thuật tự Quốc triều Trang Tông Dụ Hoàng Đế chí ...
神宗渊皇帝增入國史命曰本紀續編付諸刊刻十纔五六	Thần Tông Uyên Hoàng Đế tăng nhập quốc sử, mệnh viết: bBn kỉ tục biên, phó chư san khắc, thập tài ngũ lục.
第事未告竣猶藏於秘閣	Đệ sự vị cáo thuân, do tàng ư Bí các.
求䏻繼其志而述其事纂其要而集其成盖必有待於今日矣	Cầu năng kế kì chí nhi thuật kì sự, toản kì yếu nhi tập kì thành, cái tất hữu đãi ư kim nhật hĩ.
欽帷皇上陛下理會道源緝熙敬學寔頼大元帥綂國政上聖父師盛功仁明	Khâm duy: Hoàng thượng bệ hạ, lí hội đạo nguyên, tập hi kính học, thực lại Đại nguyên soái thống quốc chính thượng thánh phụ sư thịnh công nhân minh ...
