大越史記本紀全書卷之一	Đại Việt Sử Ký Bản Kỷ Toàn Thư Quyển Chi Nhất.
丁紀	Đinh KỶ.
先皇帝	Tiên Hoàng Đế.
姓丁諱部領大皇華閭洞人驩州刺史丁公著之子也削平使君自立爲帝在位十二年爲内五十六塟長安山陵	[Tính Đinh, huý Bộ Lĩnh, Đại Hoàng Hoa Lư động nhân, Hoan Châu Thứ sử Đinh Công Trứ chi tử dã, tước bình sứ quân, tự lập vi đế, tại vị thập nhị niên, vi nội ngũ thập lục, táng Trường Yên sơn lăng.
人杜釋所弑而崩壽帝才明過人勇畧盖世掃盡群䧺統繼趙武然失於預防不保其終惜夫	nhân Đỗ Thích sở thí nhi băng, thọ Đế tài minh quá nhân, dũng lược cái thế, tảo tận quần hùng, thống kế Triệu Vũ, nhiên thất ư dự phòng, bất bảo kì chung, tích phù!].
初帝父丁公著爲楊廷藝牙將廷藝授攝歡州刺史後歸吳王遣還舊任卒	Sơ, Đế phụ Đinh Công Trứ vi Dương Đình Nghệ nha tướng, Đình Nghệ thụ nhiếp Hoan Châu Thứ sử, hậu quy Ngô Vương, khiển hoàn cựu nhiệm tốt.
帝少孤母譚氏與其徒入居洞山神祠側	Đế thiếu cô, mẫu Đàm thị dữ kì đồ nhập cư động sơn thần từ trắc.
爲兒童時與群童牧牛于也	Vi nhi đồng thời, dữ quần đồng mục ngưu vu dã.
群童自知識量不及	Quần đồng tự tri thức lượng bất cập,..
相與推爲眾長	tương dữ suy vi chúng trưởng.
凣遊戲必率眾交手爲乘輿捧之及以蘆花左右引之象天子儀仗	Phàm du hí, tất suất chúng giao thủ vi thừa dư bổng chi, cập dĩ lư hoa tả hữu dẫn chi, tượng thiên tử nghi trượng.
暇日往擊別村兒童所至皆懾服相率日供樵爨以充課役	Hạ nhật, vãng kích biệt thôn nhi đồng, sở chí giai nhiếp phục, tương suất nhật cung tiều thoán dĩ sung khoá dịch.
母見之喜爲烹家䐁饗之	Mẫu kiến chi hỉ, vi phanh gia đồn hưởng chi.
諸󰀋父老轉相吿曰此兒噐量若是必能濟事我背荀不來附異日悔之晚矣	Chư sách phụ lão chuyển tương cáo viết: "Thử nhi khí lượng nhược thị tất năng tế sự, ngã bội tuân bất lai phụ dị, nhật hối chi vãn hĩ".
遂率子弟往從之與立爲長居陶澳󰀋	Toại suất tử đệ vãng tòng chi, dữ lập vi trưởng, cư Đào Áo sách.
其叔父㨿󱖮󰀋與帝拒戰	Kì thúc phụ cứ Bông sách dữ đế cự chiến.
時帝年幼兵勢未振因奔比	Thời đế niên ấu, binh thế vị chấn, nhân bôn bí.
過譚家娘灣橋橋折陷于淖音?泥也	Quá Đàm Gia Nương Loan kiều, kiều chiết, hãm vu náo [âm [UNK] nê dã]..
叔欲刺之見二皇龍擁之懼而退	thúc dục thích chi, kiến nhị hoàng long ủng chi, cụ nhi thoái.
帝收餘卒復戰叔乃降	Đế thu dư tốt phục chiến, thúc nãi hàng.
由是人人畏服凡征戰所過易如破竹號萬勝王	Do thị nhân nhân uý phục, phàm chinh chiến sở quá dị như phá trúc, hiệu Vạn Thắng Vương.
時十二使君自相䧺長割據土宇	Thời Thập nhị sứ quân tự tương hùng trưởng, cát cứ thổ vũ.
吳昌熾㨿平橋吳日慶㨿唐林矯三制㨿峯州阮太平㨿阮家灣杜景碩據杜洞江阮令公㨿西扶烈細江則有吕佐唐僊遊則有阮守㨗超類則有李郎公洄湖則有矯令公藤州則有范防遏布海則有陳公	Ngô Xương Xí cứ BÌnh Kiều, Ngô Nhật Khánh cứ Đường Lâm, Kiểu Tam Chế cứ Phong Châu, Nguyễn Thái Bình cứ Nguyễn Gia Loan, Đỗ Cảnh Thạc cứ Đỗ Động Giang, Nguyễn Lệnh Công cứ Tây Phù Liệt, Tế Giang tắc hữu Lữ Tá Đường, Tiên Du tắc hữu Nguyễn Thủ Tiệp, Siêu Loại tắc hữu Lí Lang Công, Hồi Hồ tắc hữu Kiểu Lệnh Công, Đằng Châu tắc hữu Phạm Phòng Át, Bố Hải tắc hữu Trần Minh Công.
王一舉平之遂自立爲帝	Vương nhất cử bình chi, toại tự lập vi đế.
擇得潭村華地建	Trạch đắc Đàm thôn hoa địa kiến..
都居之以其世狹隘又無設險之利復都華閭	đô cư chi, dĩ kì thế hiệp ải, hựu vô thiết hiểm chi lợi, phục đô Hoa Lư.
戊辰元年宋開寳元年	Mậu Thìn, nguyên niên [Tống Khai Bảo nguyên niên].
帝即位建國號大瞿越徙京邑華閭洞肇新都築城鑿池起宫殿制朝儀	Đế tức vị, kiến quốc hiệu Đại Cồ Việt, tỉ Kinh ấp Hoa Lư động, triệu tân đô, trúc thành tạc trì, khởi cung điện, chế triều nghi.
羣臣上尊號曰大勝明皇帝	Quần thần thượng tôn hiệu viết Đại Thắng Minh Hoàng Đế.
帝欲以威制天下乃置大鼎于庭養猛虎于檻下令曰有違者受烹齧之罪	Đế dục dĩ uy chế thiên hạ, nãi trí đại đỉnh vu đình, dưỡng mãnh hổ vu hạm, hạ lệnh viết: "Hữu vi giả thụ phanh khiết chi tội".
