大越史記本紀實録卷之十一	Đại Việt sử ký bản kỷ thực lục quyển chi thập nhất.
朝列大夫國子監司業兼史官修撰臣黎皇朝紀太宗文皇帝	Triều liệt đại phu Quốc tử giám tư nghiệp kiêm sử quan tu soạn thần Lê Hoàng Triều kỷ Thái Tông Văn Hoàng Đế.
諱元龍太祖次子在位九年東巡而崩壽二十塟祐陵帝天資明智運撫昇平内制強臣外攘夷狄	[Huý Nguyên Long Thái Tổ thứ tử, tại vị cửu niên Đông tuần nhi băng, thọ nhị thập, táng Hựu Lăng ] Đế thiên tư minh trí, vận phủ thăng bình, nội chế cường thần, ngoại nhương Di Địch.
重道崇儒設科取士讞獄訊囚率多寬貨亦守成之良主也然耽心酒色暴崩于外自取之也其母恭慈皇太后笵氏諱陳清華雷陽群來鄕人也	Trọng đạo sùng nho, thiết khoa thủ sĩ, nghiện ngục tấn tù, suất đa khoan hoá diệc thủ thành chi lương chủ dã Nhiên đam tâm tửu sắc bạo băng vu ngoại tự thủ chi dã ] Kì mẫu Cung Từ hoàng thái hậu Phạm thị, huý Trần, Thanh Hoa Lôi Dương Quần Lai hương nhân dã.
以太祖起義六年癸卯冬十一月二十日誕生順天元年三月册封梁郡公二年	Dĩ Thái Tổ khởi nghĩa lục niên Quý Mão, đông thập nhất nguyệt nhị thập nhật, đản sinh Thuận Thiên nguyên niên tam nguyệt, sách phong Lương quận công nhị niên,..
正月六日立為皇太子六年九月八日即位以明年為紹平元年大赦天下以生日為繼聖節尋改萬壽聖節號桂林洞主時帝生方十一不假垂簾聽政而天下之事皆自已出甲寅紹平元年明宣德春正月九年朔帝出百官謁太廟又出百官同北使望闕𢪒於客舘四日命門下司右侍郎阮富後改傅右刑院郎中范時中與北使徐琦郭濟等如明	Chính nguyệt lục nhật lập vi Hoàng thái tử lục niên cửu nguyệt bát nhật tức vị dĩ minh niên vi Thiệu Bình nguyên niên đại xá thiên hạ dĩ sinh nhật vi kế thánh tiết tầm cải Vạn Thọ thánh tiết hiệu Quế Lâm Động Chủ Thời đế sinh phương thập nhất bất giả thuỳ liêm thính chính nhi thiên hạ chi sự giai tự dĩ xuất Giáp Dần Thiệu Bình nguyên niên [Minh Tuyên Đức Xuân chính nguyệt cửu niên ] sóc, đế xuất bách quan yết Thái Miếu, hựu xuất bách quan đồng Bắc sứ vọng khuyết bái ư khách quán Tứ nhật mệnh môn hạ tư hữu thị lang Nguyễn Phú [hậu cải Phó ] Hữu hình viện lang trung Phạm Thời Trung dữ Bắc sứ Từ Kì Quách, Tế đẳng như Minh.
先是明遣徐琦等賫勑來問所拘留之人及土貢之金故帝遣富等徃	Tiên thị, Minh khiển Từ Kì đẳng tê sắc lai vấn sở câu lưu chi nhân, cập thổ cống chi kim, cố đế khiển Phú đẳng vãng..
觧之	giải chi.
六日議遣宣撫使阮宗胄中書黄門侍郎蔡君實耆人戴良弼等賫表文及方物徃來封于明	Lục nhật, nghị khiển Tuyên phủ sứ Nguyễn Tông Trụ, Trung thư hoàng môn thị lang Thái Quân Thực, kì nhân Đái Lương Bật đẳng tê biểu văn cập phương vật vãng lai phong vu Minh.
旨揮大臣文武百官内外大小等其略曰人臣之道大要有二	Chỉ huy đại thần văn vũ bách quan nội ngoại đại tiểu đẳng, kì lược viết: "Nhân thần chi đạo đại yếu hữu nhị.
上則愛其君下則愛其民	Thượng tắc ái kì quân, hạ tắc ái kì dân.
愛君者必尽忠愛民者必尽誠而已	Ái quân giả tất tận trung, ái dân giả tất tận thành nhi dĩ.
凣其有僚朕已委信有不竭忠誠荒廢天職則國有常憲	Phàm kì hữu liêu trẫm dĩ uỷ tín, hữu bất kiệt trung thành, hoang phế thiên chức, tắc quốc hữu thường hiến.
間者求賢圖治命諸人各舉所知	Gian giả cầu hiền đồ trị, mệnh chư nhân các cử sở tri.
今既久矣曾無應命󰁮一人以荅朕心何也	Kim ký cửu hĩ tằng vô ứng mệnh cử nhất nhân dĩ đáp trẫm tâm hà dã.
七日宣光鎮平原獠人入貢	Thất nhật Tuyên Quang trấn Bình Nguyên Lạo nhân nhập cống.
命都督黎問傳㫖諭之使回	Mệnh đô đốc Lê Vấn truyền chỉ dụ chi sứ hồi..
本業	bản nghiệp.
