大越史記本紀續編卷之十六	Đại Việt Sử Ký Bản Kỷ Tục Biên quyển chi thập lục.
黎皇朝紀	Lê Hoàng Triều KỶ.
附莫登瀛八年福海六年福原二年莊宗裕皇帝諱寧又諱㫬在位十六年壽三十四歲帝遭屯避難頼舊臣尊立外結鄰封内任贒将故人皆樂用中興之基實兆於此矣帝乃昭宗之子聖宗之玄孫	Phụ Mạc [Đăng Doanh bát niên Phúc Hải lục niên Phúc Nguyên nhị niên,] Trang Tông Dụ Hoàng Đế [Huý Ninh, hựu huý Huyến Tại vị thập lục niên, thọ tam thập tứ tuế.] [Đế tao đốn tị nạn, lại cựu thần tôn lập, ngoại kết lân phong nội nhiệm hiền tướng, cố, nhân giai lạc dụng, trung hưng chi cơ thực triệu ư thử hĩ] Đế nãi Chiêu Tông chi tử, Thánh Tông chi huyền tôn.
母范氏諱玉瓊瑞原縣髙峙󰀋人	Mẫu Phạm thị, huý Ngọc Quỳnh Thuỵ Nguyên huyện Cao Trĩ sách nhân.
時莫登庸簒僣帝避居清華	Thời, Mạc Đăng Dung soán tiếm, Đế tị cư Thanh Hoa.
太師興國公阮金使人訪求迎至哀牢國尊立之	Thái sư Hưng quốc công Nguyễn Kim sử nhân phỏng cầu nghênh chí Ai Lao quốc tôn lập chi.
癸巳元和元年莫大正四年〇	Quý Tị Nguyên Hoà nguyên niên, [Mạc Đại Chính tứ niên .
明嘉靖十二年春正月帝即位于哀…	Minh Gia Tĩnh thập nhị niên,] xuân chính nguyệt, Đế tức vị vu Ai..
牢建元元和尊大将軍阮金為尙父太師興國公掌内外事以中人丁公爲少尉䧺國公	Lao, kiến nguyên Nguyên Hoà, tôn Đại tướng quân Nguyễn Kim vi Thượng phụ Thái sư Hưng Quốc công, chưởng nội ngoại sự, dĩ trung nhân Đinh Công vi Thiếu uý Hùng quốc công.
其餘一一封賞俾之同心匡輔又與哀牢主乍斗相結資其兵糧以圖進取	Kì dư nhất nhất phong thưởng tỉ chi đồng tâm khuông phụ, hựu dữ Ai Lao chủ Sạ Đẩu tương kết tư kì binh lương dĩ đồ tiến thủ.
帝遣鄭惟憭如明奏稱莫登庸僣亂窃㨿國城阻絶道路以致久廢職貢	Đế khiến Trịnh Duy Liệu như Minh tấu xưng Mạc Đăng Dung tiếm loạn, thiết cứ quốc thành trở tuyệt đạo lộ dĩ trí cửu phế chức cống.
甲午二年莫大正五年〇	Giáp Ngọ nhị niên, [Mạc Đại Chính ngũ niên .
明嘉靖十三年明聞莫登庸簒奪僞置官属占㨿國城阻絶貢路擅作大誥僣稱上皇罪狀既昭乃命咸寧侯仇鸞爲總督軍務兵部尙	Minh Gia Tĩnh thập tam niên,] Minh văn Mạc Đăng Dung soán đoạt nguỵ trí quan thuộc chiếm cứ quốc thành trở tuyệt cống lộ, thiện tác đại cáo tiếm xưng Thượng hoàng, tội trạng ký chiêu, nãi mệnh Hàm Ninh hầu Cừu Loan vi tổng đốc quân vụ Binh bộ thượng..
書毛伯温參賛軍敄徃討之	thư Mao Bá Ôn tham tán quân vụ vãng thảo chi.
乙未三年莫大正六年〇	Ất Mùi tam niên, [Mạc Đại Chính lục niên .
明嘉靖十四年莫開會試科	Minh Gia Tĩnh thập tứ niên,] Mạc khai Hội thí khoa.
賜阮秉謙裴克篤阮承休等進士及第阮寅亮等七人進士出身阮重光等二十二人同進士出身	Tứ Nguyễn Bỉnh Khiêm, Bùi Khắc Đốc, Nguyễn Thừa Hưu đẳng tiến sĩ cập đệ, Nguyễn Dần Lượng đẳng thất nhân tiến sĩ xuất thân, Nguyễn Trùng Quang đẳng nhị thập nhị nhân đồng Tiến sĩ xuất thân.
丙申四年莫大正七年〇	Bính Thân Tứ niên, [Mạc Đại Chính thất niên .
明嘉靖十五年帝遣鄭垣如明僃列莫氏簒弑及帝播遷于清華事由	Minh Gia Tĩnh thập ngũ niên,] Đế khiến Trịnh Viên như Minh bị liệt Mạc thị soán thích cập Đế bá thiên vu Thanh Hoa sự do.
莫使東軍都督府左都督謙郡公莫廷科重脩國子監	Mạc sử Đông quân đô đốc phủ tả đô đốc Khiêm quận công Mạc Đình Khoa trùng tu Quốc tử giám.
丁酉五年莫大正八年〇	Đinh Dậu ngũ niên, [Mạc Đại Chính bát niên .
明嘉靖十六年春正月莫視太學	Minh Gia Tĩnh thập lục niên,] xuân chính nguyệt, Mạc thị Thái học.
夏四月大風折木𤼵屋海水漲溢人畜溺死	Hạ tứ nguyệt, đại phong triết mộc phát ốc, hải thuỷ trướng dật, nhân súc nịch tử.
莫西安侯黎丕承起兵收掠三司遂𠬧兵入哀牢國效順	Mạc Tây An hầu Lê Phi Thừa khởi binh thu lược tam ti, toại thu binh nhập Ai Lao quốc hiệu thuận.
莫封其子敬典等爲王餘皆以次受封	Mạc phong kì tử Kính Điển đẳng vi Vương, dư giai dĩ thứ thụ phong.
戊戌六年莫大正九年〇	Mậu Tuất lục niên, [Mạc Đại Chính cửu niên .
明嘉靖十七年春莫開會試科	Minh Gia Tĩnh thập thất niên,] xuân, Mạc khai Hội thí khoa.
賜甲海陳璲黄岑等進士及第潘鎬等八人進士出身黄詮等二十五人同進士出身〇	Tứ Giáp Hải, Trần Toại, Hoàng Sầm đẳng tiến sĩ cập đệ, Phan Cảo đẳng bát nhân tiến sĩ xuất thân, Hoàng Thuyên đẳng nhị thập ngũ nhân đồng tiến sĩ xuất thân .
莫選黄丁	Mạc tuyển hoàng đinh.
莫遣阮文泰如明賫表乞降并祈處分	Mạc khiến Nguyễn Văn Thái như Minh tê biểu khất hàng tịnh kì xử phân.
己亥七年莫大正十年〇	Kỉ Hợi thất niên, [Mạc Đại Chính thập niên .
明嘉靖十八年帝封大将軍鄭檢為翼	Minh Gia Tĩnh thập bát niên,] Đế phong Đại tướng quân Trịnh Kiểm vi Dực..
郡公永福槊山人鄭公䏻爲宣郡公頼世榮爲和郡公	quận công, [Vĩnh Phúc Sóc Sơn nhân,] Trịnh Công Năng vi Tuyên quận công, Lại Thế Vinh vi Hoà quận công.
協郡公祥郡公慈郡公鎮郡公西郡公陽郡公瑞郡公宜郡公等各賜兵印使領本部兵進討各處思復西京軍氣益銃	Hiệp quận công, Tường quận công, Từ quận công, Trấn quận công, Tây quận công, Dương quận công, Thuỵ quận công, Nghi quận công đẳng các tứ binh ấn sử lĩnh bản bộ binh tiến thảo các xứ tư phục Tây Kinh, quân khí ích súng.
後進攻雷陽莫兵多敗引軍還〇	Hậu tiến công Lôi Dương, Mạc binh đa bại, dẫn quân hoàn .
大旱〇	Đại hạn .
冬十月地震	Đông thập nguyệt, địa chấn.
庚子八年莫大正十一年明嘉靖十九年春正月十五日莫登瀛卒長子福海立以明年爲廣和元年	Canh Tí bát niên, [Mạc Đại Chính thập nhất niên Minh Gia Tĩnh thập cửu niên,] xuân chính nguyệt, thập ngũ nhật, Mạc Đăng Doanh tốt, trưởng tử Phúc Hải lập, dĩ minh niên vi Quảng Hoà nguyên niên.
冬十一月莫登庸與其姪文明及其臣阮如桂杜世卿鄧文值黎烇阮總蘇文速阮經濟楊維一裴	Đông thập nhất nguyệt, Mạc Đăng Dung dữ kì điệt Văn Minh cập kì thần Nguyễn Như Quế, Đỗ Thế Khanh, Đặng Văn Trị, Lê Thuyên, Nguyễn Tổng, Tô Văn Tốc, Nguyễn Kinh Tế, Dương Duy Nhất, Bùi..
致永等過鎮南䦕各持尺組繋頸詣明幕府徒跣匍伏稽首跪上降表盡籍國中土地軍民官職悉聽處分納安廣永安州澌浮金勒古森了葛安良羅浮諸峒願内屬歸隷欽州	Trí Vĩnh, đẳng quá Trấn Nam Quan, các trì xích tổ hệ cảnh nghệ Minh mạc phủ đồ tiển bồ phục khể thủ quỵ, thượng hàng biểu tận tịch quốc trung thổ địa quân dân quan chức tất thính xứ phân nạp An Quảng, Vĩnh An châu Ti Phù, Kim Lặc, Cổ Sâm, Liễu Cát, An Lương, La Phù, chư động, nguyện nội thuộc quy lệ Khâm Châu.
仍請頒正朔賜印章謹護守以候更定又遣文明及阮文泰許三省等賫降表赴燕京	Những thỉnh phân chính sóc tứ ấn chương cẩn hộ thủ dĩ hậu cánh định hựu khiến Văn Minh cập Nguyễn Văn Thái hứa tam tỉnh đẳng tê hàng biểu phó Yên Kinh.
太師興國公阮金督兵攻乂安	Thái sư Hưng quốc công Nguyễn Kim đốc binh công Nghệ An.
豪傑多歸之	Hào kiệt đa quy chi.
軍聲大振所至遠近降服	Quân thanh đại chấn, sở chí viễn cận hàng phục.
辛丑九年莫廣和元年〇	Tân Sửu cửu niên, [Mạc Quảng Hoà nguyên niên .
明嘉靖二十年莫開會試科	Minh Gia Tĩnh nhị thập niên,] Mạc khai Hội thí khoa.
賜阮琦范	Tứ Nguyễn Kì, Phạm..
公森阮世禄等進士及第吳珖等四人進士出身范愿等二十三人同進士出身〇	Công Sâm, Nguyễn Thế Lộc đẳng tiến sĩ cập đệ, Ngô quang đẳng tứ nhân tiến sĩ xuất thân, Phạm Nguyện đẳng nhị thập tam nhân đồng tiến sĩ xuất thân .
是時西安侯黎丕承有不平之志常𤼵怒言日益驕横	Thị thời, Tây An hầu Lê Phi Thừa hữu bất bình chi chí, thường phát nộ ngôn, nhật ích kiêu hoành.
太師阮金使人扼殺之	Thái sư Nguyễn Kim sử nhân ách sát chi.
初丕承出身舍人事莫登庸	Sơ, Phi Thừa xuất thân xá nhân, sự Mạc Đăng Dung.
登庸嘉之許𬋩本道七縣兵民	Đăng Dung gia chi hứa quản bản đạo thất huyện binh dân.
至大正年間歸順朝廷	Chí Đại Chính niên, gian quy thuận triều đình.
帝仍以舊職至此又恐望驕暴乃殺之八月二十二日莫登庸卒	Đế những dĩ cựu chức, chí thử hựu khủng vọng kiêu bạo nãi [sát chi.] Bát nguyệt, nhị thập nhị nhật, Mạc Đăng Dung tốt.
十月二十日明毛伯温等奉奏至燕京謂莫登庸朿身疑塞願奉正朔去僣號歸所侵四峒之	Thập nguyệt, nhị thập nhật, Minh Mao Bá Ôn đẳng phụng tấu chí Yên Kinh vị Mạc Đăng Dung thúc thân nghi tái nguyện phụng chính sóc khứ tiếm hiệu quy sở xâm tứ động chi..
地願内屬稱藩歲頒大統曆日補足逆年貢物委身恭順	địa nguyện nội thuộc xưng phiên, tuế phân Đại Thống lịch nhật bổ túc nghịch niên cống vật uỷ thân cung thuận.
如以莫登庸有罪投降未可輕授爵士伊孫莫福海見今待命倘家務宥或可别與都護總管等項各色如漢唐故事每年行廣西布政司頒給大統曆日令赴鎮南䦕祇領先年所缺貢儀查照補足以後年分照舉行	Như dĩ Mạc Đăng Dung hữu tội đầu hàng vị khả khinh thụ tước sĩ y tôn Mạc Phúc Hải kiến kim đãi mệnh thảng gia vụ hựu hoặc khả biệt dữ đô hộ tổng quẩn đẳng hạng các sắc như Hán Đường cố sự, mỗi niên hành Quảng Tây bố chính ti phân cấp Đại Thống lịch nhật, lệnh phó Trấn Nam quan chỉ lĩnh tiên niên sở khuyết cống nghi tra chiếu bổ túc dĩ hậu niên phân chiếu cử hành.
至若黎寧雖自稱爲黎氏子孫然即㨿諸司查勘踪跡委的漢明	Chí nhược Lê Ninh tuy tự xưng vi Lê thị tử tôn, nhiên tức cứ chư ti tra khám tung tích uỷ đích Hán Minh.
鄭維憭一向潜住本國石林州峒寨附近廣西士官地方黎寧面貌不相識故或稱	Trịnh Duy Liệu nhất hướng tiềm trú bản quốc Thạch Lâm châu động trại phụ cận Quảng Tây sĩ quan địa phương Lê Ninh diện mạo bất tương thức cố hoặc xưng..
黎寧或稱黎憲或稱光照或稱光和或又以爲氏作稱	Lê Ninh, hoặc xưng Lê Hiến, hoặc xưng Quang Chiếu, hoặc xưng Quang Hoà, hoặc hựu dĩ vi thị tác xưng.
